,season,event,team,player,games_played,wins,loses,win_rate,kills,deaths,assists,kill_death_assist_ratio,creep_score,cs/min,gold,gold/min
148,3,Main,Royal_Club,Lucky,9,5,4,55.6,1.56,3.44,8.67,2.97,77.0,2.4,7.6,236.0
149,3,Main,Royal_Club,Tabe,9,5,4,55.6,1.11,5.33,8.56,1.81,18.89,0.59,6.3,195.0
150,3,Main,Royal_Club,Uzi,9,5,4,55.6,5.44,3.44,4.89,3.0,261.89,8.17,12.4,386.0
151,3,Main,Royal_Club,Wh1t3zZ,9,5,4,55.6,4.56,3.44,6.89,3.32,249.44,7.78,11.8,368.0
152,3,Main,Samsung_White,Dade,9,5,4,55.6,2.89,3.22,7.44,3.21,256.22,8.06,11.6,366.0
153,3,Main,Samsung_White,DanDy,9,5,4,55.6,4.33,3.0,8.33,4.22,84.22,2.65,8.6,272.0
154,3,Main,Samsung_White,imp,9,5,4,55.6,5.67,2.56,6.0,4.57,236.56,7.44,12.1,380.0
155,3,Main,Samsung_White,Looper,9,5,4,55.6,2.22,2.33,6.78,3.86,202.11,6.36,10.1,318.0
156,3,Main,Samsung_White,Mata,9,5,4,55.6,1.0,4.22,11.0,2.84,25.44,0.8,7.1,224.0
157,3,Main,SK_Telecom_T1,bengi,18,15,3,83.3,2.5,1.89,9.28,6.24,97.83,3.1,9.0,284.0
158,3,Main,SK_Telecom_T1,Faker,18,15,3,83.3,4.44,2.17,6.0,4.82,276.83,8.77,12.6,400.0
159,3,Main,SK_Telecom_T1,Impact,18,15,3,83.3,2.94,2.17,6.94,4.56,222.22,7.04,11.3,357.0
160,3,Main,SK_Telecom_T1,Piglet,18,15,3,83.3,6.39,1.22,5.5,9.73,253.0,8.02,12.9,408.0
161,3,Main,SK_Telecom_T1,PoohManDu,18,15,3,83.3,1.11,2.67,9.5,3.98,31.0,0.98,7.3,232.0
162,3,Main,Team_Vulcun,Sycho Sid,8,3,5,37.5,1.25,2.5,4.38,2.25,193.0,6.34,9.3,305.0
163,3,Main,Team_Vulcun,BloodWater,8,3,5,37.5,1.63,1.75,6.5,4.64,31.0,1.02,6.9,228.0
164,3,Main,Team_Vulcun,mancloud,8,3,5,37.5,3.38,3.88,4.25,1.97,252.5,8.29,11.5,379.0
165,3,Main,Team_Vulcun,Xmithie,8,3,5,37.5,1.75,3.13,5.38,2.28,98.38,3.23,7.8,255.0
166,3,Main,Team_Vulcun,Zuna,8,3,5,37.5,3.25,2.88,4.25,2.61,207.25,6.81,10.3,338.0
167,3,Main,TSM,Dyrus,8,2,6,25.0,2.5,5.38,5.5,1.49,211.5,5.9,10.6,296.0
168,3,Main,TSM,Reginald,8,2,6,25.0,3.38,5.0,5.13,1.7,218.38,6.09,10.8,302.0
169,3,Main,TSM,TheOddOne,8,2,6,25.0,2.63,3.63,7.63,2.83,132.0,3.68,9.3,260.0
170,3,Main,TSM,WildTurtle,8,2,6,25.0,5.38,4.0,5.75,2.78,295.88,8.26,13.4,375.0
171,3,Main,TSM,Xpecial,8,2,6,25.0,1.0,4.5,8.63,2.14,56.25,1.57,7.9,221.0
