,season,event,champion,games_contests,pick_ban_ratio,banned_games,played_games,played_by_number_of_players,win,lose,win_rate,kills,deaths,assists,kill_death_assist_ratio,creep_score,cs/min,gold,gold/min,kill_participation,kill_share,gold_share
327,6,Main,Viktor,29,37.7,6,23,8,13,10,56.5,3.7,2.39,3.61,3.05,366.7,9.29,16.4,416.0,59.2,29.9,22.8
328,6,Main,Alistar,28,36.4,5,23,16,15,8,65.2,0.61,2.61,8.48,3.48,38.0,1.0,9.8,258.0,71.3,4.8,14.2
329,6,Main,Cassiopeia,28,36.4,6,22,10,8,14,36.4,3.05,2.73,3.82,2.52,301.27,8.36,13.7,380.0,62.1,27.6,21.8
330,6,Main,Zyra,27,35.1,5,22,5,14,8,63.6,1.45,2.77,6.73,2.95,34.23,0.89,11.0,287.0,56.3,10.0,15.4
331,6,Main,Vladimir,27,35.1,12,15,9,7,8,46.7,3.33,1.8,4.67,4.44,306.53,7.98,14.1,368.0,64.9,27.0,21.2
332,6,Main,Nami,26,33.8,2,24,12,10,14,41.7,0.71,2.42,10.33,4.57,22.63,0.56,10.4,257.0,81.0,5.2,14.4
333,6,Main,Tahm Kench,23,29.9,12,11,7,6,5,54.5,1.45,2.73,7.09,3.13,50.55,1.28,10.6,269.0,60.3,10.3,14.9
334,6,Main,Bard,17,22.1,5,12,5,3,9,25.0,1.0,3.92,5.92,1.77,23.08,0.66,8.8,251.0,64.3,9.3,15.1
335,6,Main,Braum,16,20.8,0,16,12,6,10,37.5,0.63,2.38,5.94,2.76,43.75,1.19,9.1,249.0,61.4,5.8,14.3
336,6,Main,Ashe,15,19.5,4,11,5,7,4,63.6,3.0,2.36,5.55,3.62,385.55,9.33,17.5,424.0,64.8,22.8,22.8
337,6,Main,Lucian,14,18.2,1,13,7,7,6,53.8,4.46,1.77,2.92,4.17,351.46,9.15,16.0,416.0,58.9,35.6,23.5
338,6,Main,Malzahar,14,18.2,3,11,8,5,6,45.5,3.91,3.18,5.18,2.86,296.64,7.72,14.4,376.0,69.0,29.7,21.4
339,6,Main,Orianna,13,16.9,0,13,6,5,8,38.5,3.08,2.69,3.54,2.46,422.54,9.45,18.2,407.0,65.2,30.3,23.1
340,6,Main,Trundle,12,15.6,1,11,6,6,5,54.5,2.18,2.0,5.0,3.59,376.27,8.27,17.4,383.0,58.5,17.8,21.0
341,6,Main,Ekko,11,14.3,1,10,5,5,5,50.0,3.0,2.3,4.3,3.17,296.1,8.24,13.8,384.0,61.3,25.2,21.4
342,6,Main,Brand,9,11.7,8,1,1,1,0,100.0,3.0,1.0,4.0,7.0,32.0,0.79,12.7,314.0,70.0,30.0,16.8
343,6,Main,Varus,8,10.4,3,5,4,3,2,60.0,2.6,2.0,4.6,3.6,414.8,8.64,18.9,393.0,64.3,23.2,22.1
344,6,Main,Zac,8,10.4,4,4,3,2,2,50.0,2.5,2.25,5.75,3.67,191.75,4.35,15.3,348.0,67.3,20.4,19.2
345,6,Main,Graves,7,9.1,0,7,5,3,4,42.9,2.29,2.57,5.86,3.17,171.57,5.09,12.1,360.0,64.8,18.2,20.8
346,6,Main,Skarner,7,9.1,1,6,5,4,2,66.7,1.83,2.17,7.17,4.15,147.67,3.82,13.3,344.0,67.5,13.8,18.9
347,6,Main,Miss Fortune,7,9.1,4,3,2,3,0,100.0,2.0,3.0,8.33,3.44,50.33,1.35,12.4,332.0,58.5,11.3,16.3
348,6,Main,Irelia,6,7.8,1,5,4,3,2,60.0,4.4,4.0,2.4,1.7,281.6,7.99,13.9,394.0,52.3,33.8,21.5
349,6,Main,Twisted Fate,6,7.8,5,1,1,0,1,0.0,0.0,6.0,5.0,0.83,374.0,7.97,17.9,382.0,71.4,0.0,21.7
350,6,Main,Jinx,5,6.5,0,5,3,2,3,40.0,2.4,1.6,4.2,4.13,361.0,9.58,15.3,406.0,63.5,23.1,23.2
