,season,event,team,player,games_played,wins,loses,win_rate,kills,deaths,assists,kill_death_assist_ratio,creep_score,cs/min,gold,gold/min,damage,damage/min,kill_participation,kill_share,gold_share
1154,12,Play in,DRX,BeryL,5,5,0,100.0,1.6,1.4,9.0,7.57,33.0,1.1,7.6,255.0,7000.0,232.0,57.6,8.7,13.0
1155,12,Play in,DRX,Deft,5,5,0,100.0,4.6,1.2,8.0,10.5,295.6,9.86,14.1,469.0,23100.0,771.0,68.5,25.0,24.0
1156,12,Play in,DRX,Kingen,5,5,0,100.0,2.8,2.4,6.0,3.67,238.8,7.96,11.9,398.0,16800.0,559.0,47.8,15.2,20.4
1157,12,Play in,DRX,Zeka,5,5,0,100.0,7.4,0.8,4.8,15.25,321.8,10.73,15.6,519.0,22200.0,742.0,66.3,40.2,26.5
1158,12,Play in,DRX,Pyosik,3,3,0,100.0,1.33,1.67,10.0,6.8,130.33,3.97,9.4,287.0,9100.0,276.0,61.8,7.3,15.2
1159,12,Play in,DRX,Juhan,2,2,0,100.0,3.0,1.5,9.5,8.33,147.5,5.74,9.4,365.0,12200.0,476.0,67.6,16.2,17.5
1160,12,Play in,Evil_Geniuses_2e-NA,Impact,10,8,2,80.0,4.2,1.2,5.6,8.17,253.3,8.18,13.5,436.0,17600.0,568.0,56.6,24.3,23.0
1161,12,Play in,Evil_Geniuses_2e-NA,Inspired,10,8,2,80.0,2.9,0.9,9.7,14.0,159.0,5.13,10.6,341.0,9900.0,319.0,72.8,16.8,17.9
1162,12,Play in,Evil_Geniuses_2e-NA,jojopyun,10,8,2,80.0,3.7,2.6,7.1,4.15,242.1,7.82,12.2,393.0,17100.0,553.0,62.4,21.4,20.7
1163,12,Play in,Evil_Geniuses_2e-NA,Kaori,10,8,2,80.0,5.7,1.9,5.1,5.68,305.7,9.87,14.8,479.0,16000.0,516.0,62.4,32.9,25.2
1164,12,Play in,Evil_Geniuses_2e-NA,Vulcan,10,8,2,80.0,0.8,1.7,11.9,7.47,30.5,0.98,7.8,250.0,5300.0,171.0,73.4,4.6,13.2
1165,12,Play in,Fnatic,Humanoid,5,4,1,80.0,5.2,1.8,3.8,5.0,269.4,8.78,13.9,453.0,25200.0,822.0,59.2,34.2,23.3
1166,12,Play in,Fnatic,Razork,5,4,1,80.0,2.4,2.6,8.0,4.0,197.4,6.44,11.4,370.0,12300.0,402.0,68.4,15.8,19.0
1167,12,Play in,Fnatic,Upset,5,4,1,80.0,5.4,0.4,4.6,25.0,318.2,10.37,14.8,483.0,16000.0,522.0,65.8,35.5,24.8
1168,12,Play in,Fnatic,Wunder,5,4,1,80.0,1.4,2.0,5.2,3.3,263.4,8.59,11.9,387.0,15100.0,494.0,43.4,9.2,19.9
1169,12,Play in,Fnatic,Hylissang,3,2,1,66.7,1.33,4.33,7.67,2.08,36.67,1.17,7.8,248.0,7900.0,252.0,55.1,8.2,13.1
1170,12,Play in,Fnatic,Rhuckz,2,2,0,100.0,0.0,0.0,11.0,22.0,40.5,1.36,7.6,255.0,4000.0,136.0,81.5,0.0,12.6
1171,12,Play in,Istanbul_Wildcats,Farfetch,5,0,5,0.0,0.2,6.4,7.8,1.25,27.0,0.84,6.6,205.0,6600.0,206.0,69.0,1.7,12.8
1172,12,Play in,Istanbul_Wildcats,Ferret,5,0,5,0.0,1.4,4.8,7.0,1.75,132.0,4.12,8.9,277.0,10500.0,328.0,72.4,12.1,17.2
1173,12,Play in,Istanbul_Wildcats,HolyPhoenix,5,0,5,0.0,4.4,3.0,5.6,3.33,297.4,9.28,13.6,423.0,15900.0,497.0,86.2,37.9,26.3
1174,12,Play in,Istanbul_Wildcats,Serin,5,0,5,0.0,3.8,3.6,5.0,2.44,257.0,8.02,12.4,387.0,24800.0,772.0,75.9,32.8,24.0
1175,12,Play in,Istanbul_Wildcats,StarScreen,5,0,5,0.0,1.8,4.0,5.2,1.75,213.8,6.67,10.2,317.0,13800.0,431.0,60.3,15.5,19.7
1176,12,Play in,Isurus,ADD,5,1,4,20.0,2.6,5.0,4.6,1.44,190.2,6.46,9.9,338.0,14800.0,502.0,67.9,24.5,20.5
1177,12,Play in,Isurus,Gavotto,5,1,4,20.0,2.2,3.6,4.0,1.72,236.6,8.04,11.1,379.0,11500.0,390.0,58.5,20.8,23.0
1178,12,Play in,Isurus,Grell,5,1,4,20.0,3.2,5.2,5.8,1.73,190.2,6.46,10.7,364.0,13700.0,465.0,84.9,30.2,22.1
1179,12,Play in,Isurus,Jelly,5,1,4,20.0,0.8,6.0,5.4,1.03,33.8,1.15,6.4,217.0,4800.0,162.0,58.5,7.5,13.2
1180,12,Play in,Isurus,seiya,5,1,4,20.0,1.8,3.2,4.6,2.0,224.4,7.62,10.2,346.0,12200.0,414.0,60.4,17.0,21.0
1181,12,Play in,LOUD,Brance,10,4,6,40.0,3.6,2.8,5.9,3.39,252.0,8.3,12.1,400.0,16900.0,558.0,66.4,25.2,22.9
1182,12,Play in,LOUD,Ceos,10,4,6,40.0,0.6,4.0,9.5,2.53,33.4,1.1,6.9,228.0,4900.0,161.0,70.6,4.2,13.1
1183,12,Play in,LOUD,Croc,10,4,6,40.0,2.7,3.8,6.5,2.42,148.8,4.9,9.9,327.0,11500.0,379.0,64.3,18.9,18.7
1184,12,Play in,LOUD,Robo,10,4,6,40.0,4.2,4.4,5.6,2.23,234.1,7.71,12.4,408.0,19300.0,636.0,68.5,29.4,23.3
1185,12,Play in,LOUD,tinowns,10,4,6,40.0,3.2,2.5,6.1,3.72,239.7,7.9,11.7,384.0,15600.0,513.0,65.0,22.4,22.0
1186,12,Play in,MAD_Lions,Armut,12,6,6,50.0,1.75,2.92,6.33,2.77,246.67,7.79,12.2,384.0,14200.0,448.0,59.9,13.0,21.1
1187,12,Play in,MAD_Lions,Elyoya,12,6,6,50.0,3.92,2.0,6.67,5.29,189.42,5.98,11.8,373.0,9700.0,306.0,78.4,29.0,20.4
1188,12,Play in,MAD_Lions,Kaiser,12,6,6,50.0,0.33,3.5,7.83,2.33,32.17,1.02,7.1,226.0,4300.0,135.0,60.5,2.5,12.4
1189,12,Play in,MAD_Lions,Nisqy,12,6,6,50.0,3.5,2.92,6.42,3.4,265.67,8.39,12.9,408.0,18600.0,586.0,73.5,25.9,22.4
1190,12,Play in,MAD_Lions,UNF0RGIVEN,12,6,6,50.0,4.0,2.25,5.08,4.04,284.75,8.99,13.7,433.0,16400.0,516.0,67.3,29.6,23.7
1191,12,Play in,Royal_Never_Give_Up,Breathe,9,7,2,77.8,4.22,2.33,4.33,3.67,284.0,8.62,14.1,429.0,17400.0,528.0,47.5,23.5,21.8
