,season,event,team,player,games_played,wins,loses,win_rate,kills,deaths,assists,kill_death_assist_ratio,creep_score,cs/min,gold,gold/min,kill_participation,kill_share,gold_share
650,8,Main,Cloud9,Sneaky,13,7,6,53.8,2.54,2.08,5.15,3.7,306.31,9.42,13.5,415.0,63.7,21.0,23.4
651,8,Main,Cloud9,Zeyzal,13,7,6,53.8,0.77,2.69,7.77,3.17,54.92,1.69,8.1,248.0,70.7,6.4,14.0
652,8,Main,Cloud9,Svenskeren,12,7,5,58.3,3.17,2.83,5.58,3.09,178.5,5.38,11.4,345.0,67.7,24.5,19.3
653,8,Main,Cloud9,Blaber,1,0,1,0.0,2.0,3.0,0.0,0.67,128.0,5.19,7.6,308.0,100.0,100.0,20.6
654,8,Main,EDward_Gaming,iBoy,10,5,5,50.0,4.2,1.6,6.4,6.63,356.8,10.24,15.4,441.0,79.1,31.3,25.0
655,8,Main,EDward_Gaming,Meiko,10,5,5,50.0,0.9,2.6,9.1,3.85,41.9,1.2,8.5,244.0,74.6,6.7,13.9
656,8,Main,EDward_Gaming,Ray,10,5,5,50.0,2.4,2.3,6.4,3.83,276.6,7.94,12.8,366.0,65.7,17.9,20.8
657,8,Main,EDward_Gaming,Scout,10,5,5,50.0,3.1,1.9,6.6,5.11,305.2,8.76,13.5,387.0,72.4,23.1,22.0
658,8,Main,EDward_Gaming,Haro,8,4,4,50.0,3.13,1.88,6.5,5.13,174.88,4.89,11.8,329.0,66.4,21.6,18.6
659,8,Main,EDward_Gaming,Clearlove,2,1,1,50.0,1.5,1.5,3.5,3.33,138.0,4.44,9.0,291.0,55.6,16.7,17.0
660,8,Main,Flash_Wolves,Betty,7,3,4,42.9,3.86,1.43,5.14,6.3,355.71,9.93,15.4,429.0,74.1,31.8,25.2
661,8,Main,Flash_Wolves,Hanabi,7,3,4,42.9,1.57,2.29,4.57,2.69,281.43,7.86,12.3,342.0,50.6,12.9,20.1
662,8,Main,Flash_Wolves,Maple,7,3,4,42.9,3.14,1.57,4.14,4.64,306.57,8.56,13.2,369.0,60.0,25.9,21.6
663,8,Main,Flash_Wolves,Moojin,7,3,4,42.9,3.29,1.43,5.57,6.2,182.43,5.09,11.9,331.0,72.9,27.1,19.4
664,8,Main,Flash_Wolves,SwordArt,7,3,4,42.9,0.29,2.71,7.57,2.89,65.29,1.82,8.3,233.0,64.7,2.4,13.7
665,8,Main,Fnatic,Broxah,17,12,5,70.6,3.59,1.59,6.29,6.22,158.65,5.25,10.9,362.0,70.6,25.6,19.3
666,8,Main,Fnatic,Caps,17,12,5,70.6,3.94,2.76,5.18,3.3,255.47,8.46,12.4,411.0,65.1,28.2,21.9
667,8,Main,Fnatic,Hylissang,17,12,5,70.6,0.41,3.06,9.18,3.13,34.0,1.13,7.7,254.0,68.5,2.9,13.6
668,8,Main,Fnatic,Rekkles,17,12,5,70.6,3.59,1.12,6.41,8.95,313.47,10.38,13.9,460.0,71.4,25.6,24.6
669,8,Main,Fnatic,Bwipo,13,10,3,76.9,2.77,3.0,5.62,2.79,246.62,8.0,12.1,394.0,58.3,19.3,20.9
670,8,Main,Fnatic,sOAZ,4,2,2,50.0,1.5,2.25,6.5,3.56,210.0,7.48,10.1,359.0,62.7,11.8,19.6
671,8,Main,G_2d-Rex,Candy,6,0,6,0.0,1.33,3.0,2.5,1.28,255.5,8.82,10.0,344.0,60.5,21.1,22.6
672,8,Main,G_2d-Rex,Koala,6,0,6,0.0,0.83,4.67,3.0,0.82,32.83,1.13,5.9,204.0,60.5,13.2,13.4
673,8,Main,G_2d-Rex,PK,6,0,6,0.0,1.33,3.17,2.5,1.21,217.33,7.5,9.4,326.0,60.5,21.1,21.4
674,8,Main,G_2d-Rex,Stitch,6,0,6,0.0,1.83,3.5,2.67,1.29,269.67,9.31,10.6,367.0,71.1,28.9,24.1
675,8,Main,G_2d-Rex,baybay,3,0,3,0.0,1.0,3.67,2.0,0.82,148.0,4.91,8.8,291.0,47.4,15.8,19.2
676,8,Main,G_2d-Rex,Empt2y,3,0,3,0.0,1.0,4.33,1.33,0.54,120.67,4.34,7.5,270.0,36.8,15.8,17.7
677,8,Main,G2_Esports,Hjarnan,15,7,8,46.7,2.53,1.6,4.47,4.38,350.4,10.26,14.6,427.0,64.0,23.2,23.9
678,8,Main,G2_Esports,Jankos,15,7,8,46.7,1.8,2.47,5.33,2.89,162.73,4.77,10.6,312.0,65.2,16.5,17.4
679,8,Main,G2_Esports,Perkz,15,7,8,46.7,3.53,2.6,3.67,2.77,327.67,9.6,14.0,409.0,65.9,32.3,22.8
680,8,Main,G2_Esports,Wadid,15,7,8,46.7,0.4,2.27,6.6,3.09,46.47,1.36,7.9,232.0,64.0,3.7,13.0
681,8,Main,G2_Esports,Wunder,15,7,8,46.7,2.67,2.27,3.0,2.5,334.13,9.79,14.0,410.0,51.8,24.4,22.9
682,8,Main,Gen_2e-G,CoreJJ,6,1,5,16.7,1.33,2.0,4.33,2.83,47.0,1.42,7.6,228.0,66.7,15.7,13.8
683,8,Main,Gen_2e-G,Crown,6,1,5,16.7,1.67,3.33,4.67,1.9,291.67,8.82,11.8,357.0,74.5,19.6,21.6
684,8,Main,Gen_2e-G,CuVee,6,1,5,16.7,2.0,2.5,2.33,1.73,282.17,8.53,11.8,356.0,51.0,23.5,21.6
685,8,Main,Gen_2e-G,Ruler,6,1,5,16.7,1.5,1.67,2.83,2.6,339.17,10.26,13.1,397.0,51.0,17.6,24.1
686,8,Main,Gen_2e-G,Haru,5,1,4,20.0,2.0,2.2,4.0,2.73,173.6,5.31,10.4,319.0,66.7,22.2,19.2
687,8,Main,Gen_2e-G,Ambition,1,0,1,0.0,2.0,1.0,3.0,5.0,155.0,4.45,9.7,277.0,83.3,33.3,17.2
688,8,Main,Invictus_Gaming,Baolan,18,14,4,77.8,1.06,1.72,10.06,6.45,44.06,1.46,7.8,258.0,69.7,6.6,13.4
689,8,Main,Invictus_Gaming,JackeyLove,18,14,4,77.8,5.11,2.0,5.56,5.33,307.33,10.21,14.0,466.0,66.9,32.1,24.2
690,8,Main,Invictus_Gaming,Ning,18,14,4,77.8,2.83,2.11,8.17,5.21,161.33,5.36,11.0,365.0,69.0,17.8,18.9
691,8,Main,Invictus_Gaming,Rookie,18,14,4,77.8,3.89,1.61,7.06,6.79,267.44,8.89,12.6,418.0,68.6,24.4,21.6
692,8,Main,Invictus_Gaming,TheShy,13,11,2,84.6,3.31,2.15,6.62,4.61,273.62,9.16,13.2,443.0,57.3,19.1,22.3
693,8,Main,Invictus_Gaming,Duke,5,3,2,60.0,2.4,1.6,3.6,3.75,264.6,8.64,11.4,374.0,48.4,19.4,20.8
694,8,Main,KT_Rolster,Deft,11,7,4,63.6,3.64,1.45,4.18,5.38,341.36,10.5,14.6,450.0,72.3,33.6,25.3
695,8,Main,KT_Rolster,Mata,11,7,4,63.6,0.45,2.09,7.64,3.87,52.27,1.61,7.8,241.0,74.8,4.2,13.6
696,8,Main,KT_Rolster,Score,11,7,4,63.6,2.18,1.64,6.0,5.0,161.91,4.98,10.6,325.0,75.6,20.2,18.3
697,8,Main,KT_Rolster,Smeb,11,7,4,63.6,1.64,1.82,4.73,3.5,267.45,8.22,12.0,368.0,58.8,15.1,20.7
698,8,Main,KT_Rolster,Ucal,11,7,4,63.6,2.91,1.91,4.36,3.81,288.91,8.88,12.7,392.0,67.2,26.9,22.1
699,8,Main,MAD_Team,Breeze,6,0,6,0.0,1.17,3.0,1.33,0.83,339.0,9.99,13.0,385.0,46.9,21.9,25.1
700,8,Main,MAD_Team,K,6,0,6,0.0,0.17,2.83,2.83,1.06,36.83,1.09,6.7,198.0,56.3,3.1,12.9
701,8,Main,MAD_Team,Liang,6,0,6,0.0,1.67,3.83,1.17,0.74,266.17,7.84,11.2,330.0,53.1,31.3,21.5
702,8,Main,MAD_Team,Uniboy,6,0,6,0.0,1.0,3.0,2.5,1.17,307.67,9.07,11.8,347.0,65.6,18.8,22.6
